c59320_retnmdl_eda_dataset_v1.opportunity__c,c59320_retnmdl_eda_dataset_v1.ags__c,c59320_retnmdl_eda_dataset_v1.legal_account_name__c,c59320_retnmdl_eda_dataset_v1.account_name,c59320_retnmdl_eda_dataset_v1.sold,c59320_retnmdl_eda_dataset_v1.close_month,c59320_retnmdl_eda_dataset_v1.close_year,c59320_retnmdl_eda_dataset_v1.duration_yrs,c59320_retnmdl_eda_dataset_v1.market,c59320_retnmdl_eda_dataset_v1.segment_sub,c59320_retnmdl_eda_dataset_v1.fundng_ty,c59320_retnmdl_eda_dataset_v1.sic_division,c59320_retnmdl_eda_dataset_v1.dups,c59320_retnmdl_eda_dataset_v1.prebbd_re,c59320_retnmdl_eda_dataset_v1.bbd,c59320_retnmdl_eda_dataset_v1.postbbd_re,c59320_retnmdl_eda_dataset_v1.rnwl_fund
OP-1780283,180628,Francisco Partners Management LP,NULL,Y,Jan,2017.0,14.333,California North,2-99,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1780730,3331901,"Janus International Group, LLC","Janus International Group, LLC",Y,Jan,2017.0,7.333,GA/AL,O500,ASO,Manufacturing,1,NULL,NULL,0.0,ASO
OP-1780842,613841,Colorado Heart & Vascular PC,NULL,Y,Jan,2017.0,1.333,Mountain States,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1780973,3338097,"Pro-Tech Design and Manufacturing, Inc.","Pro-Tech Design and Manufacturing, Inc.",N,Jan,2017.0,2.333,California South,2-99,Guaranteed Cost,Services,1,0.116691116303518,0.000736,0.117513000965118,GC
OP-1781049,606054,"Skytech, Inc.",NULL,Y,Jan,2017.0,6.333,MD/VA/DC,2-99,ASO,Transp_Comms_Electric_Sanitary,1,NULL,NULL,NULL,NULL
OP-1781148,3337126,Tradebe Environmental Services LLC.,Tradebe Environmental Services LLC.,Y,Jan,2017.0,3.333,Midwest,O500,ASO,Transp_Comms_Electric_Sanitary,1,NULL,NULL,0.0,ASO
OP-1785706,614200,AccuTec,NULL,N,Jan,2017.0,1.25,NY/NJ,100-249,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1786261,3333863,CNA,CNA,Y,Jan,2017.0,5.917,MD/VA/DC,O500,Shared Returns,Services,1,-0.020323,0.0,-0.020323,SR
OP-1787623,3205496,Maricopa County,Maricopa County,Y,Jul,2017.0,22.917,Arizona,O500,ASO,Public_Admin,1,NULL,NULL,0.0151482684399731,ASO
OP-1788193,613998,Gemini Rosemont Property Management LLC.,NULL,Y,Jan,2017.0,1.25,Mountain States,100-249,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1788200,614099,IGI Printing,NULL,Y,Mar,2017.0,1.25,NY/NJ,250-500,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1788213,3336740,"Aprio Holdings, LLC","Aprio Holdings, LLC",Y,Jan,2017.0,3.917,GA/AL,250-500,Shared Returns,Services,1,-0.020678,0.0,-0.020678,SR
OP-1788285,609566,Iron & Metals Inc.,NULL,Y,Jan,2017.0,3.25,Mountain States,2-99,ASO,Wholesale_Trade,1,NULL,NULL,NULL,NULL
OP-1788366,614048,"MapR Technologies, Inc.",NULL,Y,Jan,2017.0,1.25,California North,250-500,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1788434,3339017,MobilityWare,MobilityWare LLC,Y,Jan,2017.0,1.25,California South,100-249,Guaranteed Cost,Services,1,0.0501829888319165,-0.000219,0.0499529987573624,GC
OP-1788447,183635,"Advanced Emissions Solutions, Inc.",NULL,Y,Jan,2017.0,9.083,Mountain States,2-99,ASO,Wholesale_Trade,1,NULL,NULL,NULL,NULL
OP-1788932,609518,"On-Site Manager, Inc.",NULL,Y,Jan,2017.0,3.25,Arizona,100-249,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1788939,3338091,Orion Construction,Orion Construction,N,Jan,2017.0,2.167,California South,2-99,Guaranteed Cost,Construction,1,0.0235816392921784,-0.002105,0.0214269999414682,GC
OP-1788946,611772,"Paladina Health, LLC",NULL,N,Jan,2017.0,2.25,Mountain States,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1788947,614135,"Paladina Health Medical Group, P.C.",NULL,N,Jan,2017.0,1.25,Mountain States,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1789180,614123,Quality King Distributors Inc,Quality King Distributors Inc,Y,Jan,2017.0,1.25,NY/NJ,100-249,Guaranteed Cost,Wholesale_Trade,1,0.166408388684349,-0.07465,0.0793360024690628,GC
OP-1789262,613983,"Simile Construction Service, Inc.",NULL,N,Jan,2017.0,1.25,California North,2-99,ASO,Construction,1,NULL,NULL,NULL,NULL
OP-1789331,613908,"The Centurion Group, Inc.",NULL,Y,Jan,2017.0,1.25,Mountain States,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1789643,608390,Facet Technologies LLC,Facet Technologies LLC,Y,Jan,2017.0,3.917,GA/AL,100-249,Guaranteed Cost,Wholesale_Trade,1,1.89999991562217e-05,0.0,1.89999991562217e-05,GC
OP-1790523,3171280,United Space Alliance,United Space Alliance,N,Jan,2017.0,18.417,North Texas,O500,ASO,Public_Admin,1,NULL,NULL,0.0,ASO
OP-1790685,614216,Dry Systems Technologies,NULL,Y,Jan,2017.0,1.25,Mountain States,2-99,ASO,Wholesale_Trade,1,NULL,NULL,NULL,NULL
OP-1792695,200379,Novipax LLC,Novipax LLC,Y,Jan,2017.0,1.583,NY/NJ,O500,ASO,Manufacturing,1,NULL,NULL,0.255502655456348,ASO
OP-1796109,615006,Bulow BioTech Prosthetics LLC,NULL,Y,Jan,2017.0,1,Tennessee,100-249,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1796428,614191,Miller Cooper & Co. LTD,NULL,Y,Jan,2017.0,1.167,Midwest,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1796501,183287,"ASI Constructors, Inc.",NULL,Y,Jan,2017.0,10.167,Mountain States,250-500,ASO,Construction,1,NULL,NULL,NULL,NULL
OP-1796514,614295,"Baccarat, Inc",NULL,Y,Jan,2017.0,1.167,NY/NJ,2-99,ASO,Wholesale_Trade,1,NULL,NULL,NULL,NULL
OP-1796567,609785,BYK USA Inc.,NULL,Y,Jan,2017.0,3.167,NY/NJ,O500,ASO,Mining,1,NULL,NULL,NULL,NULL
OP-1796678,617642,Chartwell Partners LLC,NULL,Y,Jan,2017.0,6.167,California South,2-99,ASO,Transp_Comms_Electric_Sanitary,1,NULL,NULL,NULL,NULL
OP-1796710,3320020,Loudoun County School Board,Loudoun County School Board,Y,Jan,2017.0,11.25,MD/VA/DC,O500,ASO,Services,1,NULL,NULL,-0.0366385639607646,ASO
OP-1796744,614261,SIMC Management LLC,NULL,N,Jan,2017.0,1.167,Texas North,2-99,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1796807,3336417,Georgia World Congress Center Authority GWCCA,Georgia World Congress Center Auth GWCCA,Y,Jan,2017.0,3.917,GA/AL,250-500,Shared Returns,Services,1,0.064046,0.0,0.064046,SR
OP-1796964,614244,"Walters Precision Service, Inc.",NULL,Y,Jan,2017.0,1.167,Arizona,2-99,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1797382,609694,Collington Episcopal Life Care Community,NULL,Y,Jan,2017.0,3.167,MD/VA/DC,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1797410,617063,CTIA,NULL,Y,Jan,2017.0,1.167,MD/VA/DC,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1797440,614245,"Diversified Radiology of Colorado, PC",NULL,Y,Jan,2017.0,1.167,Mountain States,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1797516,614238,Financial Industry Computer Systems,NULL,Y,Jan,2017.0,1.167,Texas North,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1797783,614103,"InMobi, Inc.",NULL,Y,Jan,2017.0,1.167,California North,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1797802,611860,Invitae Corporation,NULL,N,Jan,2017.0,2.167,California North,100-249,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1798058,614253,CO Building Systems and Manufacturing,NULL,Y,Jan,2017.0,1.167,Mountain States,2-99,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1798149,3329070,NAACP Legal Defense and Education Fund,NAACP Legal Defense and Education Fund,Y,Jan,2017.0,9.917,NY/NJ,2-99,Guaranteed Cost,Services,1,0.0912647495934034,-0.010286,0.0800400003790855,GC
OP-1798259,614392,Pinal County Federal Credit Union,NULL,Y,Jan,2017.0,1.167,Pacific Northwest,2-99,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1798272,611830,Pool Cover Corp,NULL,Y,Jan,2017.0,2.167,NY/NJ,2-99,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1798376,3330041,Prince George's County Government,Prince George's County Government,Y,Jan,2017.0,8.917,MD/VA/DC,O500,ASO,Public_Admin,1,NULL,NULL,0.00964087731983598,ASO
OP-1798625,3335057,Memphis Light Gas & Water,Memphis Light Gas & Water,Y,Jan,2017.0,4.917,Tennessee,O500,ASO,Transp_Comms_Electric_Sanitary,1,NULL,NULL,-0.351894478462551,ASO
OP-1798628,3335055,City of Memphis,City of Memphis,Y,Jan,2017.0,5,Tennessee,O500,ASO,Public_Admin,1,NULL,NULL,-0.0233233996207822,ASO
OP-1798700,3334981,"Seattle Genetics, Inc.","Seattle Genetics, Inc.",Y,Jan,2017.0,5.25,Pacific Northwest,O500,ASO,Manufacturing,1,NULL,NULL,0.121439278869476,ASO
OP-1800044,610778,"Eclipse Intelligent Solutions (USA), Inc.","Eclipse Intelligent Solutions (USA), Inc.",Y,Jan,2017.0,2.75,New England,100-249,Guaranteed Cost,Services,1,0.0136236808005032,-0.001518,0.0120850000530481,GC
OP-1800137,3339269,JLL Pioneer Inc.,JLL Pioneer Inc.,Y,Jan,2017.0,1.083,Arizona,O500,ASO,Mining,1,NULL,NULL,0.0,ASO
OP-1800213,609739,"Motors & Armatures, Inc.","Motors & Armatures, Inc.",Y,Jan,2017.0,3.083,NY/NJ,100-249,Guaranteed Cost,Wholesale_Trade,1,0.096883479830046,-0.058983,0.0321860015392303,GC
OP-1800228,614585,"NetWolves Network Services, LLC.",NULL,N,Jan,2017.0,1.083,Connecticut,2-99,ASO,Transp_Comms_Electric_Sanitary,1,NULL,NULL,NULL,NULL
OP-1800234,612107,Noranda Finance Holdings,Noranda Finance Holdings,N,Jan,2017.0,2.083,Connecticut,2-99,Guaranteed Cost,Nonclassifiable,1,0.270002007484436,0.0,0.270002007484436,GC
OP-1800277,612028,"OPES Advisors, Inc.",NULL,Y,Jan,2017.0,2.083,Pacific Northwest,100-249,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1800360,614433,"Qumulo, Inc.",NULL,N,Jan,2017.0,1.083,Pacific Northwest,100-249,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1800390,612020,Rempac Foam Corporation,Rempac Foam Corporation,Y,Jan,2017.0,2.083,NY/NJ,100-249,Guaranteed Cost,Manufacturing,1,0.145873770741746,-0.052633,0.0855629965662956,GC
OP-1800693,614347,Santa Fe Prepatory School,NULL,Y,Jan,2017.0,1.083,Mountain States,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1800747,608315,Surefoot L.C.,NULL,Y,Jan,2017.0,4.083,Mountain States,100-249,ASO,Retail_Trade,1,NULL,NULL,NULL,NULL
OP-1800764,614405,Timberline Bank,NULL,Y,Mar,2017.0,1.083,Mountain States,2-99,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1800776,609826,"Transzap, Inc.",NULL,Y,Jan,2017.0,3.083,Mountain States,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1800782,612113,Ultra Steak Incorporated,Ultra Steak Incorporated,Y,Jan,2017.0,2.083,Midwest,100-249,Guaranteed Cost,Services,1,0.274864131626116,-0.071916,0.183181002736092,GC
OP-1800917,614431,ES3,NULL,N,Jan,2017.0,1.083,Mountain States,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1800975,3336488,"Gameworks Entertainment, LLC","Gameworks Entertainment, LLC",N,Jan,2017.0,4.083,California South,2-99,Guaranteed Cost,Services,1,0.0767069980502129,0.0,0.0767069980502129,GC
OP-1800978,609871,Garden of the Gods Club and Resort and Affiliated Companies,NULL,N,Jan,2017.0,3.083,Mountain States,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1801006,614256,Grand Junction Housing Authority,NULL,Y,Jan,2017.0,1.083,Mountain States,2-99,ASO,Public_Admin,1,NULL,NULL,NULL,NULL
OP-1801042,614412,"Health Fidelity, Inc.",NULL,Y,Jan,2017.0,1.083,California North,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1801043,614575,"Healthfront,P.C.",NULL,Y,Jan,2017.0,1.083,Mountain States,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1801055,614537,Huddle Inc,NULL,Y,Jan,2017.0,1.083,GA/AL,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1801136,3339518,Choice Health Management Services LLC,Choice Health Management Services LLC,Y,Jan,2017.0,0.917,Carolinas,O500,ASO,Services,1,NULL,NULL,0.0775844969613835,ASO
OP-1801775,3331151,UMB Financial Corporation,UMB Financial Corporation,Y,Jan,2017.0,7.917,MidAmerica,O500,ASO,Finance_Insur_RlEstate,1,NULL,NULL,-0.20425911431215,ASO
OP-1801840,3339246,"ACRT,Inc.","ACRT,Inc.",Y,Jan,2017.0,0.917,Liberty Valley,O500,ASO,Services,1,NULL,NULL,0.142484490625211,ASO
OP-1801972,3336651,City of Tamarac,City of Tamarac,Y,Jan,2017.0,3.917,Florida South,250-500,ASO,Public_Admin,1,NULL,NULL,0.0038969113035956,ASO
OP-1802011,610012,Archive Systems Inc,NULL,N,Jan,2017.0,2.083,NY/NJ,250-500,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1803175,3331467,PSL Administration Services America LLC,PSL Administration Services America LLC,Y,Jan,2017.0,8.083,NY/NJ,100-249,Guaranteed Cost,Manufacturing,1,0.0904139081314086,-0.000375,0.0900050029158592,GC
OP-1803461,612542,"WorkNet Pinellas, Inc.","WorkNet Pinellas, Inc.",Y,Jan,2017.0,1.917,Florida Tampa/Orlando,100-249,Guaranteed Cost,Services,1,0.1156090067495,-0.17554,-0.0802249982953072,GC
OP-1805402,3339175,"Austin Industries, Inc.","Austin Industries, Inc.",Y,Jan,2017.0,0.917,Texas North,O500,ASO,Construction,1,NULL,NULL,-0.0455298155667194,ASO
OP-1805406,3209464,"S & D Coffee, Inc.",S & D Coffee Inc.,Y,Jan,2017.0,19.917,Carolinas,O500,ASO,Manufacturing,1,NULL,NULL,-0.10006825353815,ASO
OP-1805504,3335245,Quicksilver Resources Inc.,Quicksilver Resources Inc.,N,Jan,2017.0,4.333,North Texas,250-500,ASO,Mining,1,NULL,NULL,0.0,ASO
OP-1806306,3329940,"IPEX USA, LLC","IPEX USA, LLC",Y,Jan,2017.0,8.917,Carolinas,250-500,ASO,Manufacturing,1,NULL,NULL,-0.236775089200462,ASO
OP-1806433,3330053,JMP Group LLC,JMP Group LLC,Y,Jan,2017.0,8.917,California North,100-249,Guaranteed Cost,Finance_Insur_RlEstate,1,0.0390920255392613,-0.000103,0.0389849990606308,GC
OP-1807375,612293,"Craigslist, Inc.","Craigslist, Inc.",Y,Jan,2017.0,1.917,California North,100-249,Guaranteed Cost,Services,1,0.135853340192621,-0.0004,0.135398998856544,GC
OP-1807384,3337493,Custom Alloy Corporation,Custom Alloy Corporation,Y,Jan,2017.0,3,NY/NJ,250-500,ASO,Manufacturing,1,NULL,NULL,0.0,ASO
OP-1807391,614630,Dallas CASA,NULL,N,Jan,2017.0,1,Texas North,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1807401,615030,Delawie,NULL,Y,Jan,2017.0,1,California South,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1807408,610294,"Digital Map Products, Inc",NULL,Y,Jan,2017.0,2.917,California South,2-99,ASO,Transp_Comms_Electric_Sanitary,1,NULL,NULL,NULL,NULL
OP-1807422,614667,"Display Devices, Inc.",NULL,Y,Jan,2017.0,1,Mountain States,2-99,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1807471,3328612,Ajinomoto North America,Ajinomoto North America,Y,Jan,2017.0,10,NY/NJ,O500,ASO,Wholesale_Trade,1,NULL,NULL,-0.00642778338484151,ASO
OP-1807628,608469,Porzio Bromberg & Newman (PB&N),Porzio Bromberg & Newman (PB&N),Y,Jan,2017.0,3.917,NY/NJ,100-249,Guaranteed Cost,Services,1,0.117670620269589,-0.053723,0.0576260015368462,GC
OP-1807645,610435,Access Communications Inc,NULL,Y,Jan,2017.0,2.917,NY/NJ,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1807816,3330092,Seadrill Americas Inc.,Seadrill Americas Inc.,Y,Jan,2017.0,8.917,North Texas,O500,ASO,Mining,1,NULL,NULL,-0.154334912642445,ASO
OP-1807993,3325888,"Teach for America, Inc.","Teach for America, Inc.",N,Jan,2017.0,10.917,NY/NJ,O500,Minimum Premium,Services,1,0.102318,0.0,0.102318,SR
OP-1808651,3332295,Getinge Holding USA Inc.,Getinge Group,Y,Jan,2017.0,6.917,GA/AL,O500,ASO,Manufacturing,1,NULL,NULL,0.105523364852989,ASO
OP-1808703,614373,"Eichleay, Inc.",NULL,Y,Jan,2017.0,1,California North,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1808729,610328,"Enovity, Inc.",NULL,Y,Jan,2017.0,2.917,California South,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1808739,615001,Epocs Manufacturing Inc.,NULL,Y,Jan,2017.0,1,Mountain States,2-99,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1808755,3177480,"Locus Telecommunications, LLC","Locus Telecommunications, LLC",Y,Jan,2017.0,15.5,NY/NJ,100-249,Guaranteed Cost,Transp_Comms_Electric_Sanitary,1,0.10136121856667,-0.009345,0.0910689979791641,GC
OP-1808759,608739,ASA Apple Inc,NULL,Y,Jan,2017.0,3.917,NY/NJ,2-99,ASO,Transp_Comms_Electric_Sanitary,1,NULL,NULL,NULL,NULL
OP-1808766,614353,M Eagles Tool Warehouse Inc,NULL,N,Jan,2017.0,0.583,NY/NJ,2-99,ASO,Wholesale_Trade,1,NULL,NULL,NULL,NULL
OP-1808772,160850,Metropolitan Plant,NULL,Y,Feb,2017.0,24.833,NY/NJ,2-99,ASO,Retail_Trade,1,NULL,NULL,NULL,NULL
OP-1808776,615265,Everest Global Inc.,NULL,Y,Jan,2017.0,1,Texas North,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1809031,3337597,Family Service Agency of Santa Barbara,Family Service Agency of Santa Barbara,N,Jan,2017.0,2.917,California South,2-99,Guaranteed Cost,Services,1,0.0208490006625652,0.0,0.0208490006625652,GC
OP-1809039,610752,Film Musicians Secondary Markets Fund,NULL,Y,Jan,2017.0,2.75,California South,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1809040,612348,"American Healthcare Investors, LLC",NULL,N,Jan,2017.0,1.917,California South,2-99,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1809051,614503,Flatirons Community Church,NULL,Y,Jan,2017.0,1,Mountain States,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1809073,614741,"Fun Spot of Florida, Inc",NULL,Y,Jan,2017.0,1,Florida Tampa/Orlando,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1809084,619072,Genera Corp,Genera Corporation,N,Jan,2017.0,3.25,California South,250-500,Guaranteed Cost,Wholesale_Trade,1,0.0,0.0,0.0,GC
OP-1809089,617965,Girardi & Keese Law Firm (confidential name),NULL,Y,Jan,2017.0,10.583,California South,2-99,ASO,Public_Admin,1,NULL,NULL,NULL,NULL
OP-1809121,614591,"Haskell & White, LLP",NULL,Y,Jan,2017.0,1,California South,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1809132,615292,HOLMANS USA CORPORATION,NULL,Y,Jan,2017.0,1,Mountain States,2-99,ASO,Retail_Trade,1,NULL,NULL,NULL,NULL
OP-1809139,615098,Hourglass Cosmetics,NULL,Y,Jan,2017.0,1,California South,2-99,ASO,Retail_Trade,1,NULL,NULL,NULL,NULL
OP-1809143,614554,"HSS, Inc. dba Harry's Roadhouse",NULL,Y,Jan,2017.0,1,Mountain States,2-99,ASO,Retail_Trade,1,NULL,NULL,NULL,NULL
OP-1809298,614693,"Ingenus Pharmaceuticals, LLC",NULL,Y,Jan,2017.0,1,Liberty Valley,2-99,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1809299,615047,Injoy Productions,NULL,Y,Jan,2017.0,1,Mountain States,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1809303,610668,Innovid Inc,Innovid Inc,Y,Jan,2017.0,2.833,NY/NJ,100-249,Guaranteed Cost,Services,1,0.0199849996715784,0.0,0.0199849996715784,GC
OP-1809307,614619,"Intarcia Therapeutics, Inc.",NULL,Y,Jan,2017.0,1,New England,250-500,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1809569,3336131,"TSVC, Inc.",Terracon,Y,Jan,2017.0,3.917,MidAmerica,O500,ASO,Services,1,NULL,NULL,0.0735329793979693,ASO
OP-1809571,3335359,"Floyd Healthcare Management, Inc. (Floyd Medical Center)","Floyd Healthcare Management, Inc.",Y,Jan,2017.0,3.917,GA/AL,O500,ASO,Services,1,NULL,NULL,0.207124396538047,ASO
OP-1809575,3328411,University of Maine System,University of Maine System,Y,Jan,2017.0,9.917,New England,O500,ASO,Services,1,NULL,NULL,-0.103086752290624,ASO
OP-1809611,3329844,"Chapters Health System, Inc","Chapters Health System, Inc",N,Jan,2017.0,9.083,Florida Tampa/Orlando,O500,ASO,Services,1,NULL,NULL,0.0,ASO
OP-1809645,3333350,Richmond Public Schools,Richmond Public Schools,Y,Jan,2017.0,6.333,MD/VA/DC,O500,ASO,Services,1,NULL,NULL,-0.774698140880172,ASO
OP-1809647,3333351,City of Richmond,City of Richmond,Y,Jan,2017.0,6.417,MD/VA/DC,O500,ASO,Public_Admin,1,NULL,NULL,-0.734338347300301,ASO
OP-1809648,3335279,"Atos IT Solutions & Services, Inc.",Atos,N,Jan,2017.0,4.917,Texas North,O500,ASO,Services,1,NULL,NULL,-0.0556720196566481,ASO
OP-1809736,612325,Jumpstart Medicine,NULL,Y,Jan,2017.0,1.917,California North,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1809737,614668,"Jviation, Inc.",NULL,Y,Jan,2017.0,1,Mountain States,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1809743,612490,"Kinestral Technologies, Inc.",NULL,Y,Jan,2017.0,1.917,California North,100-249,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1810043,612282,"Amfabsteel, Incorporated",NULL,Y,Jan,2017.0,2,Mountain States,100-249,ASO,Construction,1,NULL,NULL,NULL,NULL
OP-1810050,621470,AnaVation LLC,NULL,N,Jan,2017.0,1,MD/VA/DC,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1810081,610446,Agency On Aging Of South Central Connecticut,Agency On Aging Of South Central Connecticut,Y,Jan,2017.0,2.917,Connecticut,100-249,Guaranteed Cost,Services,1,0.060905693649169,-0.019714,0.0399909988045692,GC
OP-1810086,608789,"Quality Service Group, LLC",NULL,Y,Jan,2017.0,3.917,Florida Tampa/Orlando,100-249,ASO,Retail_Trade,1,NULL,NULL,NULL,NULL
OP-1810349,3329978,"Forest City Trading Group, LLC","FCTG Holdings, Inc.",Y,Jan,2017.0,8.917,Pacific Northwest,250-500,Minimum Premium,Wholesale_Trade,1,-0.049617,0.0,-0.049617,SR
OP-1810380,3337183,Montgomery County Public Schools,Montgomery County Public Schools - MD,Y,Jan,2017.0,2.917,MD/VA/DC,O500,ASO,Services,1,NULL,NULL,-0.0800955811318128,ASO
OP-1810415,612722,"Lifescript, Inc.",NULL,Y,Jan,2017.0,1.917,Midwest,2-99,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
OP-1810434,612788,"Mayco Manufacturing, LLC Preferences   PDF E-Mail Print Remove from Folder Add to",NULL,N,Jan,2017.0,2,Midwest,100-249,ASO,Manufacturing,1,NULL,NULL,NULL,NULL
